epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.3772,1.34997,3.17771,1.71185,0.03452,0.98159,0.32026,0.15736,1.28909,3.08385,1.7013,0.000225,0.000225,0.000225
2,59.1869,1.26888,2.43832,1.62384,0.3015,0.39513,0.28892,0.12551,1.77855,2.77439,2.2348,0.000456777,0.000456777,0.000456777
3,84.2279,1.30292,2.20639,1.62439,0.18712,0.20422,0.13074,0.0485,2.12418,3.05915,3.10981,0.000682675,0.000682675,0.000682675
4,108.913,1.34342,2.11977,1.63509,0.22044,0.27972,0.11374,0.03423,2.38661,3.61843,3.54363,0.000902695,0.000902695,0.000902695
5,136.389,1.3653,2.13307,1.67034,0.56533,0.30503,0.21588,0.07723,2.35414,3.78453,3.24609,0.00111684,0.00111684,0.00111684
6,160.369,1.40489,2.09731,1.7239,0.25608,0.2073,0.07189,0.01912,2.8486,3.53657,3.54451,0.00117266,0.00117266,0.00117266
7,187.309,1.40807,2.00015,1.70622,0.21863,0.26756,0.17397,0.05405,2.42846,3.03183,2.92026,0.00115719,0.00115719,0.00115719
8,211.022,1.38115,1.91051,1.66139,0.3364,0.38928,0.20547,0.07998,2.59716,5.17646,3.89099,0.00114172,0.00114172,0.00114172
9,236.549,1.34691,1.82721,1.64743,0.14617,0.30527,0.16065,0.07417,1.89727,3.17643,2.53544,0.00112625,0.00112625,0.00112625
10,263.345,1.35249,1.73511,1.63813,0.41032,0.38105,0.28686,0.13136,2.01449,2.36731,2.52823,0.00111078,0.00111078,0.00111078
11,288.136,1.29523,1.67136,1.61373,0.2518,0.40232,0.25166,0.09311,2.44389,2.86636,3.14974,0.00109531,0.00109531,0.00109531
12,313.194,1.31771,1.63928,1.60543,0.22318,0.31002,0.17714,0.0572,2.60583,2.54003,2.9718,0.00107984,0.00107984,0.00107984
13,339.406,1.28347,1.60945,1.58992,0.22656,0.49445,0.27782,0.08784,2.1588,2.41357,2.52344,0.00106437,0.00106437,0.00106437
14,363.997,1.25828,1.49728,1.5758,0.43308,0.45194,0.32696,0.12707,1.90009,2.45288,2.36499,0.00104891,0.00104891,0.00104891
15,392.055,1.23885,1.55163,1.55674,0.38197,0.41189,0.40874,0.19318,1.8431,2.20443,2.26963,0.00103344,0.00103344,0.00103344
16,416.214,1.24,1.48046,1.5513,0.62207,0.39684,0.41043,0.16708,1.96001,2.42275,2.39067,0.00101797,0.00101797,0.00101797
17,443.337,1.21656,1.42787,1.52366,0.34232,0.59584,0.43463,0.18502,2.00827,1.99401,2.37108,0.0010025,0.0010025,0.0010025
18,468.752,1.19071,1.37897,1.50963,0.31793,0.33182,0.27468,0.11419,2.23276,2.34141,3.01027,0.000987031,0.000987031,0.000987031
19,493.171,1.1924,1.34999,1.50901,0.53189,0.42749,0.31431,0.14295,1.96864,2.31294,2.37708,0.000971562,0.000971562,0.000971562
20,518.855,1.18345,1.34178,1.51293,0.54646,0.43124,0.47829,0.19142,2.0273,1.77087,2.41224,0.000956094,0.000956094,0.000956094
21,545.269,1.19601,1.31536,1.51606,0.71284,0.37984,0.44051,0.18937,1.85475,2.01755,2.20304,0.000940625,0.000940625,0.000940625
22,569.229,1.15134,1.26292,1.48135,0.52698,0.41493,0.43484,0.1944,1.8206,1.90582,2.15647,0.000925156,0.000925156,0.000925156
23,596.82,1.14027,1.24014,1.46715,0.48236,0.41085,0.40337,0.18884,1.86642,1.98918,2.17424,0.000909688,0.000909688,0.000909688
24,621.204,1.12191,1.19581,1.45336,0.3468,0.43067,0.32687,0.15335,1.82067,2.05927,2.15198,0.000894219,0.000894219,0.000894219
25,647.147,1.12591,1.18595,1.44544,0.52623,0.39121,0.45971,0.22731,1.79617,1.89987,2.20127,0.00087875,0.00087875,0.00087875
26,674.593,1.1059,1.15521,1.4346,0.45396,0.48298,0.4263,0.19148,1.88056,2.00219,2.24322,0.000863281,0.000863281,0.000863281
27,698.049,1.09869,1.16305,1.44307,0.51051,0.47464,0.43417,0.19104,1.73144,2.14377,2.13027,0.000847813,0.000847813,0.000847813
28,724.602,1.06752,1.0948,1.40921,0.41067,0.41075,0.3907,0.17344,1.75117,2.46439,2.10198,0.000832344,0.000832344,0.000832344
29,749.557,1.06667,1.07965,1.42266,0.57786,0.40647,0.39535,0.17991,1.81905,2.2198,2.15997,0.000816875,0.000816875,0.000816875
30,773.928,1.05699,1.06441,1.39823,0.43429,0.44795,0.39555,0.18703,1.90486,2.1151,2.25441,0.000801406,0.000801406,0.000801406
31,800.621,1.05868,1.06935,1.40408,0.49262,0.47272,0.44103,0.2034,1.77425,2.06315,2.07197,0.000785938,0.000785938,0.000785938
32,825.477,1.01844,1.0199,1.36686,0.52994,0.37575,0.41829,0.22159,1.73743,1.89242,2.10715,0.000770469,0.000770469,0.000770469
33,852.444,1.02782,1.06053,1.38577,0.42406,0.41384,0.36435,0.18556,1.89576,2.19762,2.29335,0.000755,0.000755,0.000755
34,878.212,1.0439,1.01729,1.38615,0.53705,0.55886,0.50137,0.25855,1.66291,1.69973,2.03756,0.000739531,0.000739531,0.000739531
35,902.992,1.03099,0.97027,1.38273,0.45471,0.56073,0.46074,0.20963,1.8846,1.87811,2.27203,0.000724062,0.000724062,0.000724062
36,931.511,1.0145,0.96706,1.37225,0.49732,0.4449,0.48279,0.23866,1.75465,1.88392,2.05874,0.000708594,0.000708594,0.000708594
37,956.358,1.00096,0.96266,1.34536,0.4271,0.49567,0.47224,0.22479,1.84695,1.82587,2.27809,0.000693125,0.000693125,0.000693125
38,985.301,0.97748,0.94512,1.35043,0.46754,0.55704,0.53773,0.24918,1.89824,1.78023,2.30213,0.000677656,0.000677656,0.000677656
39,1010.04,0.97754,0.92073,1.33722,0.28794,0.46679,0.30415,0.13366,1.93837,2.01781,2.34354,0.000662188,0.000662188,0.000662188
40,1037.31,0.97849,0.93586,1.33784,0.54317,0.36689,0.42526,0.21931,1.81576,1.84668,2.11259,0.000646719,0.000646719,0.000646719
41,1063.77,0.94389,0.89537,1.32441,0.4754,0.49876,0.51297,0.24637,1.77466,1.79566,2.1465,0.00063125,0.00063125,0.00063125
42,1089.95,0.94627,0.89092,1.32056,0.68245,0.5435,0.58179,0.28832,1.72461,1.79748,2.11382,0.000615781,0.000615781,0.000615781
43,1117.29,0.93386,0.86565,1.30429,0.58381,0.5152,0.53465,0.25257,1.67702,1.75058,2.10428,0.000600313,0.000600313,0.000600313
44,1142.24,0.92482,0.85131,1.30513,0.71091,0.47807,0.57129,0.28918,1.73269,1.78665,2.13901,0.000584844,0.000584844,0.000584844
45,1170.41,0.88864,0.83276,1.28446,0.60962,0.5371,0.54887,0.28559,1.62554,1.69702,2.0826,0.000569375,0.000569375,0.000569375
46,1196.48,0.89888,0.82287,1.29349,0.4758,0.62102,0.56638,0.32117,1.59975,1.66231,2.00986,0.000553906,0.000553906,0.000553906
47,1221.71,0.89207,0.80722,1.28632,0.66093,0.45982,0.49836,0.27019,1.66397,1.79833,2.03262,0.000538438,0.000538438,0.000538438
48,1247.8,0.89033,0.78417,1.27159,0.62085,0.53896,0.53673,0.28611,1.704,1.76268,2.06914,0.000522969,0.000522969,0.000522969
49,1272.51,0.86491,0.78791,1.26881,0.4514,0.5911,0.45504,0.20141,1.93838,2.00272,2.38244,0.0005075,0.0005075,0.0005075
50,1300.03,0.88765,0.8011,1.27925,0.55659,0.58562,0.57626,0.31874,1.69172,1.65152,2.09115,0.000492031,0.000492031,0.000492031
51,1325.72,0.86249,0.78336,1.25478,0.44684,0.58934,0.5032,0.29548,1.63326,1.66749,2.09048,0.000476562,0.000476562,0.000476562
52,1352.24,0.85704,0.76237,1.26803,0.36349,0.53179,0.41238,0.2146,1.7798,1.90161,2.21105,0.000461094,0.000461094,0.000461094
53,1379.65,0.8376,0.73643,1.24019,0.4779,0.60691,0.55319,0.29853,1.67979,1.60253,2.12776,0.000445625,0.000445625,0.000445625
54,1406.17,0.8451,0.73625,1.24871,0.40582,0.55744,0.48724,0.27363,1.58396,1.78093,2.01823,0.000430156,0.000430156,0.000430156
55,1435.36,0.83046,0.7274,1.23942,0.54687,0.5307,0.55991,0.29943,1.82622,1.83595,2.20858,0.000414688,0.000414688,0.000414688
56,1460.27,0.82732,0.72227,1.23309,0.49589,0.53919,0.50501,0.25431,1.75292,1.83045,2.22104,0.000399219,0.000399219,0.000399219
57,1487.84,0.80293,0.69868,1.21699,0.58437,0.38749,0.43837,0.22292,1.74404,2.09412,2.1695,0.00038375,0.00038375,0.00038375
58,1513.39,0.807,0.69412,1.2109,0.5443,0.5381,0.52516,0.24536,1.94728,1.80334,2.37795,0.000368281,0.000368281,0.000368281
59,1538.66,0.78368,0.69432,1.20283,0.55024,0.45829,0.45634,0.21659,1.98788,1.99536,2.40532,0.000352812,0.000352812,0.000352812
